Current_Capacity,Rated_Capacity,Current_Voltage,Min_Voltage,Max_Voltage,Charge_Energy,Discharge_Energy,Voltage_Drop,Current,Initial_Voltage,Final_Voltage,Time_Days,SoH,SoC,CE,IR,SDR,BHI
15.46,22.5,237.04,180,240,392.8,267.26,0.04,24.04,230.58,226.25,4,68.71,95.07,68.04,0.0017,0.47,60.06
12.86,22.5,219.05,180,240,122.56,110.73,0.19,10.07,239.92,236.83,26,57.16,65.08,90.35,0.0189,0.05,53.94
17.15,22.5,205.92,180,240,216.49,163.51,0.04,36.29,233.66,231.37,15,76.22,43.2,75.53,0.0011,0.07,54.23
18.21,22.5,202.95,180,240,493.29,272.91,0.17,71.23,234.5,234.42,25,80.93,38.25,55.32,0.0024,0.0,51.09
22.11,22.5,228.5,180,240,221.85,93.85,0.14,49.61,231.22,228.74,15,98.27,80.83,42.3,0.0028,0.07,63.93
13.2,22.5,203.46,180,240,172.89,150.17,0.09,28.71,235.68,235.51,18,58.67,39.1,86.86,0.0031,0.0,48.66
19.97,22.5,236.37,180,240,457.93,305.96,0.19,17.96,231.96,231.72,8,88.76,93.95,66.81,0.0106,0.01,67.65
20.75,22.5,224.84,180,240,315.88,218.4,0.19,64.63,232.76,231.27,13,92.22,74.73,69.14,0.0029,0.05,65.66
12.09,22.5,239.21,180,240,408.9,145.36,0.01,83.39,237.07,233.42,1,53.73,98.68,35.55,0.0001,1.54,48.18
18.07,22.5,235.58,180,240,360.43,336.58,0.17,50.45,230.95,229.09,24,80.31,92.63,93.38,0.0034,0.03,69.32
18.74,22.5,215.48,180,240,209.89,152.9,0.08,97.45,238.49,234.88,23,83.29,59.13,72.85,0.0008,0.07,59.7
19.92,22.5,209.63,180,240,309.09,177.95,0.01,19.71,230.31,227.12,20,88.53,49.38,57.57,0.0005,0.07,56.79
17.59,22.5,221.73,180,240,155.73,125.77,0.11,28.28,239.43,236.43,19,78.18,69.55,80.76,0.0039,0.07,61.33
13.06,22.5,235.78,180,240,423.25,297.42,0.18,82.33,231.87,227.41,11,58.04,92.97,70.27,0.0022,0.17,55.85
14.9,22.5,187.33,180,240,242.52,227.38,0.06,68.29,230.01,228.24,3,66.22,12.22,93.76,0.0009,0.26,47.66
11.33,22.5,210.64,180,240,266.96,121.53,0.03,40.39,239.43,237.81,24,50.36,51.07,45.52,0.0007,0.03,39.46
19.16,22.5,201.82,180,240,488.71,473.36,0.06,54.75,233.01,231.58,17,85.16,36.37,96.86,0.0011,0.04,60.71
14.25,22.5,238.6,180,240,264.41,86.09,0.08,67.09,236.81,234.15,26,63.33,97.67,32.56,0.0012,0.04,51.37
22.34,22.5,194.52,180,240,368.85,299.99,0.06,75.54,233.68,230.51,6,99.29,24.2,81.33,0.0008,0.23,60.8
15.74,22.5,228.99,180,240,419.34,131.14,0.11,72.62,238.58,236.94,4,69.96,81.65,31.27,0.0015,0.17,50.55
11.44,22.5,210.73,180,240,190.6,151.36,0.04,72.18,233.87,229.19,1,50.84,51.22,79.41,0.0006,2.0,46.26
18.85,22.5,224.11,180,240,183.63,136.11,0.14,30.57,231.75,226.84,20,83.78,73.52,74.12,0.0046,0.11,63.03
17.21,22.5,194.51,180,240,137.24,131.36,0.18,66.98,233.39,231.64,16,76.49,24.18,95.72,0.0027,0.05,54.57
20.77,22.5,231.38,180,240,261.8,241.4,0.17,94.21,237.85,234.5,3,92.31,85.63,92.21,0.0018,0.47,72.44
15.44,22.5,236.41,180,240,489.47,196.26,0.07,53.71,234.48,229.51,4,68.62,94.02,40.1,0.0013,0.53,54.22
19.26,22.5,194.23,180,240,230.16,192.09,0.13,86.43,236.58,233.73,12,85.6,23.72,83.46,0.0015,0.1,55.67
16.97,22.5,218.18,180,240,200.18,150.89,0.2,53.81,239.06,236.88,21,75.42,63.63,75.38,0.0037,0.04,57.97
16.9,22.5,214.61,180,240,297.01,122.37,0.15,35.27,230.24,227.01,17,75.11,57.68,41.2,0.0043,0.08,49.81
22.44,22.5,208.2,180,240,211.82,196.46,0.15,95.78,233.31,230.54,3,99.73,47.0,92.75,0.0016,0.4,67.8
